player,position,age,team,games,mins_played,pts,rebounds_defensive
Alex Caruso,SG,31,OKC,39,712,12.6,4
Pat Spencer,PG,29,GSW,43,710,13.7,3.2
Christian Braun,SG,24,DEN,23,700,11.9,3.5
Micah Peavy,SG,24,NOP,46,693,10.4,2.8
Jalen Pickett,SG,26,DEN,39,688,11.1,4.4
De'Anthony Melton,PG,27,GSW,31,688,20.6,3.8
Derrick Jones Jr.,SF,28,LAC,26,682,14.7,2.5
Goga Bitadze,C,26,ORL,43,681,13.2,6.7
Jonas Valančiūnas,C,33,DEN,47,675,22.5,9
Robert Williams,C,28,POR,41,670,14.2,9.8
Kenrich Williams,PF,31,OKC,40,651,15.4,5.2
Johnny Furphy,SG,21,IND,35,643,10.1,6.8
Karlo Matković,PF,24,NOP,47,642,13.9,6.4
Aaron Gordon,PF,30,DEN,23,642,22.8,6.3
Tyler Kolek,PG,24,NYK,49,639,13.4,4.2
Anthony Davis,PF,32,DAL,20,626,23.4,9.1
Jakob Poeltl,C,30,TOR,25,621,13.7,6.8
Clint Capela,C,31,HOU,52,616,10.8,7.2
Dylan Cardwell,C,24,SAC,29,616,9.1,7.7
Tre Mann,PG,24,CHO,39,613,15.7,4.1
Justin Edwards,SF,22,PHI,44,608,12,2.7
Jabari Walker,PF,23,PHI,50,596,10.8,5.7
Josh Green,SG,25,CHO,36,594,10.8,2.4
Trendon Watford,PF,25,PHI,36,575,13.6,5.8
Paul Reed,C,26,DET,42,570,18.4,6.7
Tidjane Salaün,PF,20,CHO,35,570,14,7.8
Ja Morant,PG,26,MEM,20,569,24.6,3.6
Domantas Sabonis,C,29,SAC,19,564,19.2,9.7
Dwight Powell,C,34,DAL,42,563,7.4,5.9
Kasparas Jakučionis,PG,19,MIA,33,561,11.8,3.8
Gary Harris,SG,31,MIL,39,559,6.2,2.6
Jamir Watkins,SG,24,WAS,30,559,11.1,5
Kevin Love,PF,37,UTA,32,550,14.3,9.1
Jalen Wilson,PF,25,BRK,38,541,13.6,3.5
Julian Strawther,SG,23,DEN,36,540,17.1,4.5
Micah Potter,C,27,IND,27,533,16.3,6.3
Noah Penda,SF,21,ORL,40,530,12.5,5.8
Cole Anthony,PG,25,MIL,35,527,16,4.9
Quenton Jackson,PG,27,IND,30,518,19.2,3.2
Zeke Nnaji,PF,25,DEN,41,516,11.6,5.9
Jamaree Bouyea,PG,26,PHO,33,512,15,3.4
Jonathan Isaac,PF,28,ORL,49,506,9.3,6.2
Jordan Hawkins,SG,23,NOP,38,504,11.1,3.4
Olivier-Maxence Prosper,PF,23,MEM,33,499,17.1,4.8
D'Angelo Russell,PG,29,DAL,26,495,19.2,3.9
Dalton Knecht,SF,24,LAL,44,494,14.3,3.9
Jase Richardson,SG,20,ORL,42,491,14.8,2.5
Aaron Holiday,PG,29,HOU,37,491,15.7,2
Drew Eubanks,C,28,SAC,36,475,13.7,5.1
Tristan Vukcevic,C,22,WAS,37,470,22.3,6.1
Keaton Wallace,PG,26,ATL,43,468,12.2,3.5
Tyler Herro,SG,26,MIA,15,453,25.3,4.8
Carter Bryant,PF,20,SAS,48,448,12.9,6.1
Asa Newell,PF,20,ATL,40,445,16.3,3.6
Thomas Bryant,C,28,CLE,42,442,18.1,6.9
Jett Howard,SF,22,ORL,38,426,15.4,3.6
Tyrese Proctor,PG,21,CLE,41,417,17,3.2
Tony Bradley,C,28,IND,38,416,13.1,4.4
Javon Small,PG,23,MEM,24,404,16.3,4
Dorian Finney-Smith,PF,32,HOU,24,392,6.8,3.6
Bogdan Bogdanović,SG,33,LAC,18,389,12.8,4.3
Cam Christie,SG,20,LAC,39,387,12.1,4.6
Ben Saraf,SG,19,BRK,22,384,10.5,2.7
Ariel Hukporti,C,23,NYK,41,379,8,7.6
Ethan Thompson,SG,26,IND,23,379,10.6,2.9
Branden Carlson,C,26,OKC,35,376,16.3,6.5
Yanic Konan Niederhäuser,C,22,LAC,38,374,14.6,6.2
Moussa Cisse,C,23,DAL,31,366,11.1,8
Anthony Gill,PF,33,WAS,33,365,11.2,4.7
Grant Williams,PF,27,CHO,18,363,13.4,5.2
Jamison Battle,SF,24,TOR,42,354,13.1,4.5
Cam Whitmore,SF,21,WAS,21,354,19.6,4
Maxi Kleber,PF,34,LAL,32,347,6.8,3.6
Kam Jones,SG,23,IND,23,346,9.5,2.5
Liam McNeeley,SF,20,CHO,28,342,12.1,5.2
Larry Nance Jr.,PF,33,CLE,27,342,9.4,5.1
Mohamed Diawara,SF,20,NYK,48,338,13.8,4.8
Devin Carter,PG,23,SAC,23,334,16,4.2
Isaiah Livers,PF,27,PHO,32,331,7.1,4.5
Nick Smith Jr.,SG,21,LAL,25,318,16.5,2
Terrence Shannon Jr.,SG,25,MIN,25,310,12.5,2.6
Kelly Olynyk,C,34,SAS,33,302,13,4.9
Jae'Sean Tate,SF,30,HOU,34,287,11.5,3.1
Rasheer Fleming,PF,21,PHO,34,284,11.9,3.3
Zach Edey,C,23,MEM,11,284,19,10
Trae Young,PG,27,ATL,10,280,24.8,1.9
Malaki Branham,SG,22,WAS,28,275,16.8,4.2
Sharife Cooper,PG,24,WAS,17,275,14.9,4.1
Pete Nance,PF,25,MIL,25,274,16.4,5.3
Myron Gardner,SF,24,MIA,29,270,15.6,7.5
Yang Hansen,C,20,POR,35,264,10.6,5.2
Daeqwon Plowden,SG,27,SAC,12,264,12.7,3
Duop Reath,C,29,POR,32,258,13.1,3.9
Taelon Peter,SG,23,IND,26,258,12,4
Kevon Looney,C,29,NOP,18,251,7.5,7.7
Brooks Barnhizer,SG,23,OKC,31,245,6.6,6.8
Jalen Green,SG,23,PHO,12,242,23.1,4.2
Blake Wesley,SG,22,POR,16,229,14,3.1
Chris Paul,PG,40,LAC,16,228,7.4,3.5
Moritz Wagner,C,28,ORL,18,223,25.3,6.5
Jahmai Mashack,SG,23,MEM,15,218,10.2,3
Bronny James,SG,21,LAL,29,211,10.7,1.9
